date,age,cell_num,exp_descr
2016-08-10,14,1,full
2016-08-11,15,1,borderline
2016-08-17,14,1,borderline
2016-08-18,15,1,full
2016-09-05,15,1,full
2016-09-06,16,1,full
2016-09-28,13,1,full
2016-10-19,15,1,full
2016-10-26,15,1,full
2016-10-26,15,2,full
2016-10-26,15,3,full
2016-10-31,20,1,full
2016-10-31,20,2,full
2016-11-02,15,1,full
2016-11-02,15,2,full
2016-11-08,15,1,max
2016-11-15,14,1,inh
2016-11-15,14,2,full
2016-11-17,16,2,max
2016-12-13,15,1,max
2016-12-20,15,1,max
2016-12-21,15,1,max
2016-12-22,16,2,full
2017-01-03,21,1,full
2017-01-04,22,1,borderline
2017-02-01,15,1,inh
2017-02-01,15,2,full
2017-02-07,15,1,full
2017-02-07,15,3,full
2017-02-10,17,1,full
2016-10-14,17,1,max
2016-10-03,14,1,full
2016-10-04,15,1,full
2016-10-06,15,1,full
2016-10-10,18,1,inh
