date,age,cell_num,exp_descr
20160810,14,1,full
20160811,15,1,borderline
20160817,14,1,borderline
20160818,15,1,full
20160905,15,1,full
20160906,16,1,full
20160928,13,1,full
20161019,15,1,full
20161026,15,1,full
20161026,15,2,full
20161026,15,3,full
20161031,20,1,full
20161031,20,2,full
20161102,15,1,full
20161102,15,2,full
20161108,15,1,max
20161115,14,1,inh
20161115,14,2,full
20161117,16,2,max
20161213,15,1,max
20161220,15,1,max
20161221,15,1,max
20161222,16,2,full
20170103,21,1,full
20170104,22,1,borderline
20170201,15,1,inh
20170201,15,2,full
20170207,15,1,full
20170207,15,3,full
20170210,17,1,full
20161014,17,1,max
20161003,14,1,full
20161004,15,1,full
20161006,15,1,full
20161010,18,1,inh
20170223,16,1,full
20170223,16,2,full
20170223,16,3,partial
20170228,15,1,full
20170228,15,2,max
20170301,15,1,full
20170302,16,1,partial
20170303,17,1,full
20170309,15,1,full
20170309,15,2,full
20170309,15,3,max
20170315,16,1.1,full
20170315,16,2.1,full
20170315,16,2.2,full
20170315,16,2.3,partial
20170316,15,1,full
20170316,15,2,full
